dataset,task,n_rows,n_columns,n_components,pca_train_rmse,ae_train_rmse,pca_test_rmse,ae_test_rmse,pca_variance_explained,mean_principal_angle_deg,max_principal_angle_deg,train_rmse_diff_ae_minus_pca,test_rmse_diff_ae_minus_pca,ae_latent_reg_MSE,ae_latent_reg_RMSE,ae_latent_reg_MAE
Breast Cancer,classification,569,30,8,0.2680632039908261,0.2693765746585354,0.2907490164150983,0.291441983774937,0.927364579193022,9.140929578274932,27.654101891311367,0.0013133706677092,0.0006929673598387,,,
Breast Cancer,classification,569,30,9,0.243300119580169,0.2460697230573764,0.2601601301977992,0.2757075011316548,0.9401645318307128,13.35545092090218,58.87126276295888,0.0027696034772073,0.0155473709338556,,,
Breast Cancer,classification,569,30,10,0.2178967404886146,0.2201793131353225,0.2393571269719452,0.2397803190264803,0.952007263240455,6.498484690234562,28.86872774477597,0.0022825726467078,0.000423192054535,,,
Breast Cancer,classification,569,30,11,0.1930411496471082,0.1947507170569014,0.2126880560827203,0.2146505534287856,0.962331889192168,6.1419855655117885,23.082794671194428,0.0017095674097931,0.0019624973460653,,,
Breast Cancer,classification,569,30,12,0.1692887405808069,0.1728450122960896,0.1893828343545014,0.1957443613950836,0.9710312205848668,10.562337009189214,52.919352216745885,0.0035562717152826,0.0063615270405821,,,
Breast Cancer,classification,569,30,13,0.1440820461635132,0.1477484573011227,0.1645939062378161,0.1670064923159587,0.979015733965334,5.441609637944342,24.19482468718201,0.0036664111376094,0.0024125860781426,,,
Breast Cancer,classification,569,30,14,0.1254370921094263,0.1328460513245,0.1443368628801734,0.1518654731420859,0.9840952808768992,5.729382858720698,24.20253632717701,0.0074089592150736,0.0075286102619125,,,
Breast Cancer,classification,569,30,15,0.1136980228322076,0.1230943708465581,0.1294582044296501,0.1375085567285797,0.9869328801711972,7.22292001355681,34.00501078341177,0.0093963480143505,0.0080503522989295,,,
Breast Cancer,classification,569,30,16,0.1034696345214821,0.1102079681001639,0.1150462998946252,0.1252916852706282,0.9891781906458652,6.000836555919657,29.23145809026787,0.0067383335786818,0.0102453853760029,,,
Breast Cancer,classification,569,30,17,0.0929104787684913,0.107231236139274,0.1065845328493244,0.1201020782038355,0.9912742363630406,5.866964778514438,25.761081609814877,0.0143207573707826,0.013517545354511,,,
Breast Cancer,classification,569,30,18,0.0826235083915501,0.08809253224297,0.0952168495716632,0.1015344024883405,0.9930994880376868,5.670759356035606,28.10241748264785,0.0054690238514199,0.0063175529166773,,,
Breast Cancer,classification,569,30,19,0.0717808625087202,0.0773987245610659,0.0837510204439244,0.0899565317084509,0.9947917551444772,5.413802083876851,29.70627123471716,0.0056178620523457,0.0062055112645264,,,
Breast Cancer,classification,569,30,20,0.0642446141609502,0.0729665330062609,0.0772223103657898,0.0826407496336571,0.995827969266529,8.416768336177743,82.94877376041089,0.0087219188453106,0.0054184392678673,,,
Breast Cancer,classification,569,30,21,0.0568912422962774,0.0817052734972085,0.0694910665466918,0.0893636943727665,0.9967283647170292,6.9721096180043975,37.57180692279073,0.0248140312009311,0.0198726278260746,,,
Breast Cancer,classification,569,30,22,0.0486286199906024,0.0617377736072658,0.0603842433587284,0.066932980022999,0.9976096695778828,5.770776669287286,34.38922642133541,0.0131091536166633,0.0065487366642705,,,
Breast Cancer,classification,569,30,23,0.040099610021014,0.0533219067049558,0.047632454614656,0.0593496214270138,0.998374622114003,6.5405341082638015,63.61334523027434,0.0132222966839417,0.0117171668123577,,,
Breast Cancer,classification,569,30,24,0.032004933218798,0.0538733226637115,0.0391062053231488,0.0592226679107614,0.998964600623006,6.53020673711736,71.75106294768274,0.0218683894449134,0.0201164625876125,,,
Breast Cancer,classification,569,30,25,0.0232189430702355,0.0676065794444092,0.0282825310157027,0.0705022044125922,0.9994550471326136,3.717839044094681,31.653553328395724,0.0443876363741737,0.0422196733968895,,,
Breast Cancer,classification,569,30,26,0.0170765837809917,0.0695572064585107,0.0219629223400538,0.0675765602840938,0.999705234918318,3.5203901893278764,34.6102742403652,0.0524806226775189,0.04561363794404,,,
Breast Cancer,classification,569,30,27,0.0088661723428668,0.0528765867781429,0.0101308380254936,0.0561540884682325,0.9999205403977848,4.166225761946884,60.740853644634136,0.0440104144352761,0.0460232504427388,,,
Breast Cancer,classification,569,30,28,0.0054167769863071,0.0334532536963518,0.0059455002992378,0.0364678881001083,0.9999703410371552,2.676913506709534,45.17332910116789,0.0280364767100447,0.0305223878008704,,,
Breast Cancer,classification,569,30,29,0.0019716023097518,0.0298234208670101,0.0026441806637249,0.0316715452970655,0.9999960707226464,2.410413293416113,69.76353986446036,0.0278518185572583,0.0290273646333406,,,
Breast Cancer,classification,569,30,30,8.09330410523079e-16,0.0347425206149342,7.811944092538937e-16,0.037307569301663,1.0,0.0047774112817486,0.0149652613148718,0.0347425206149334,0.0373075693016622,,,
drug_200,Classification,200,6,1,0.8625057081024514,0.8625135302342524,0.9033524714104804,0.903565822875656,0.2560839034906888,0.5753074104276602,0.5753074104276602,7.822131800949705e-06,0.0002133514651755,,,
drug_200,Classification,200,6,2,0.7342422105944666,0.7342877028860699,0.7760160629479538,0.7770670592718847,0.4608883761813511,1.3834353187727002,1.8463833254772477,4.54922916033329e-05,0.0010509963239309,,,
drug_200,Classification,200,6,3,0.6004275774545575,0.6004829183886374,0.6708514531814257,0.6706113617957692,0.6394867242320512,0.8455430071890011,1.5069839142731116,5.534093407988383e-05,-0.0002400913856565,,,
drug_200,Classification,200,6,4,0.4630881777829577,0.4632769248039621,0.5351987771143648,0.5350634583945483,0.7855493395976598,0.4219410287395204,1.4199362021776758,0.0001887470210044,-0.0001353187198165,,,
drug_200,Classification,200,6,5,0.2919621986262015,0.2922801257785498,0.3148170045586487,0.3141470953798773,0.9147580745733546,0.1728229187821399,0.8348602648761428,0.0003179271523482,-0.0006699091787714,,,
drug_200,Classification,200,6,6,7.489781212201427e-16,7.778822489964252e-08,7.773404097556391e-16,7.567869605445594e-08,1.0000000000000002,0.0048515264200428,0.0164030547274549,7.778822415066438e-08,7.567869527711554e-08,,,
earthquake_data_tsunami,classification,782,12,1,0.884157728751776,0.8843601830270819,0.918174415177892,0.916851435618928,0.218265110688501,4.751028957874613,4.751028957874613,0.0002024542753058,-0.0013229795589639,,,
earthquake_data_tsunami,classification,782,12,2,0.7658877758227953,0.7661637693861209,0.8110876740494658,0.8096924332196965,0.4134159148452119,2.11645020234257,3.3557994481271245,0.0002759935633255,-0.0013952408297692,,,
earthquake_data_tsunami,classification,782,12,3,0.6850218831027802,0.6852217844938078,0.7350429126676408,0.735148300465642,0.5307450196703208,1.7340190190312257,2.873514176216762,0.0001999013910275,0.0001053877980011,,,
earthquake_data_tsunami,classification,782,12,4,0.6125129205538813,0.6131530443531654,0.6809081421398407,0.6833540023776172,0.6248279221545545,2.362934556887899,4.91301857505247,0.0006401237992841,0.0024458602377764,,,
earthquake_data_tsunami,classification,782,12,5,0.5376992209331561,0.538342323362386,0.6123104164014224,0.6141657732024594,0.7108795478078769,3.090987762525245,5.362626565738769,0.0006431024292298,0.0018553568010369,,,
earthquake_data_tsunami,classification,782,12,6,0.4616768752800381,0.46246874890813,0.5191590484192741,0.5197709790213388,0.7868544628316599,2.5033278074265515,4.943856923333289,0.0007918736280918,0.0006119306020647,,,
earthquake_data_tsunami,classification,782,12,7,0.3979466620626134,0.3984333840581768,0.4550239131525068,0.4569361550239909,0.841638454153224,1.4887461017493029,4.611281515437531,0.0004867219955633,0.001912241871484,,,
earthquake_data_tsunami,classification,782,12,8,0.3292812382444585,0.3301947139733487,0.36301292961709,0.3623376691246612,0.8915738661401961,1.437963642079142,3.9150398536910207,0.0009134757288901,-0.0006752604924287,,,
earthquake_data_tsunami,classification,782,12,9,0.2685737224925027,0.2694937364686683,0.294537157351263,0.2951612801752711,0.92786815558652,1.2806056374450023,6.711648758439183,0.0009200139761655,0.000624122824008,,,
earthquake_data_tsunami,classification,782,12,10,0.2081969862306421,0.2090670985646198,0.2162933105811768,0.2138633957154137,0.9566540149244778,0.8577502609635417,5.097788859514907,0.0008701123339777,-0.002429914865763,,,
earthquake_data_tsunami,classification,782,12,11,0.1329340562757623,0.1336175672685703,0.1382264611099207,0.1392635760818728,0.9823285366820724,0.2837252688438317,3.087424129730953,0.000683510992808,0.0010371149719521,,,
earthquake_data_tsunami,classification,782,12,12,8.862455574821406e-16,1.908492305711617e-07,9.18988082377563e-16,1.8962281566637373e-07,1.0,0.0070749613635029,0.0170673369989087,1.908492296849161e-07,1.8962281474738565e-07,,,
global_climate_energy_2020_2024,Regression,36540,7,1,0.9243297179076404,0.9248511723634216,0.9227078424705566,0.9232538574214508,0.1456145725927829,3.7635297674599015,3.7635297674599015,0.0005214544557814,0.0005460149508941,,,
global_climate_energy_2020_2024,Regression,36540,7,2,0.8426802499621414,0.8433900215211736,0.8437556073299808,0.8444300854940261,0.2898899963237424,2.896778471242625,4.332009360589439,0.0007097715590321,0.0006744781640453,,,
global_climate_energy_2020_2024,Regression,36540,7,3,0.7524208253529051,0.7525070514906009,0.754069791371743,0.7541714810011175,0.4338629015752518,1.1263376699012972,1.7198207772108394,8.622613769582177e-05,0.0001016896293745,,,
global_climate_energy_2020_2024,Regression,36540,7,4,0.6502161486279298,0.6503080311639862,0.6526199832414022,0.6526580128227967,0.5772189600634627,0.7770235019799129,1.744072474875447,9.188253605640906e-05,3.802958139442758e-05,,,
global_climate_energy_2020_2024,Regression,36540,7,5,0.5304314994185093,0.5306588192368822,0.5333888618716935,0.5335414455773089,0.7186424244246319,0.994060533335482,3.23020430683895,0.0002273198183728,0.0001525837056153,,,
global_climate_energy_2020_2024,Regression,36540,7,6,0.3746120605550653,0.3748672835430122,0.3779485097451641,0.3772132257379761,0.8596658040866879,1.239048077869611,7.406678172441225,0.0002552229879468,-0.0007352840071879,,,
global_climate_energy_2020_2024,Regression,36540,7,7,9.492998806494413e-16,0.0060658952966735,9.456570538104293e-16,0.0060337684269814,1.0,0.0054811486717545,0.0153919857989046,0.0060658952966726,0.0060337684269804,,,
hotel_bookings_updated_2024,Classification,119390,16,1,0.906673552819785,0.9066818603778298,0.9141779264253708,0.9142105806771889,0.1231392731916262,8.352661358104333,8.352661358104333,8.307558044817753e-06,3.2654251818198254e-05,,,
hotel_bookings_updated_2024,Classification,119390,16,2,0.8549556022327491,0.8549743485384886,0.861761467646676,0.8617326440333197,0.2203209794248932,6.586283609897847,12.075329007822722,1.87463057395032e-05,-2.882361335632133e-05,,,
hotel_bookings_updated_2024,Classification,119390,16,3,0.8022828362395572,0.8023073327051914,0.8088944718974865,0.8089839590203799,0.3134317340537706,8.699588604981406,23.692533042805906,2.449646563418284e-05,8.948712289336136e-05,,,
hotel_bookings_updated_2024,Classification,119390,16,4,0.757021163775636,0.7570564240976746,0.7626775398345907,0.7628405873393111,0.3887135547688325,6.404335330443446,22.343604188587136,3.526032203859941e-05,0.0001630475047204,,,
hotel_bookings_updated_2024,Classification,119390,16,5,0.711374004572802,0.7114252059502912,0.7170534806852378,0.7173734599016973,0.4602101606592594,9.02823656172268,30.15689184240788,5.120137748926279e-05,0.0003199792164595,,,
hotel_bookings_updated_2024,Classification,119390,16,6,0.662943089119971,0.6630088728830383,0.6667591643597838,0.6675383858936175,0.5312068912939408,6.180771964860934,29.511250925303795,6.578376306731748e-05,0.0007792215338336,,,
hotel_bookings_updated_2024,Classification,119390,16,7,0.6155901372910207,0.6156834710717883,0.6172318397478019,0.618220644499183,0.5957853683946893,6.310271259195395,34.73762893241076,9.333378076759048e-05,0.000988804751381,,,
hotel_bookings_updated_2024,Classification,119390,16,8,0.5664722605816304,0.5665275889974543,0.5687308865443216,0.5694146850673961,0.6577164565243053,4.137102538848187,24.73808500097276,5.532841582389647e-05,0.0006837985230745,,,
hotel_bookings_updated_2024,Classification,119390,16,9,0.5129992532690504,0.5131374318395647,0.5165261743280589,0.5179999235072363,0.7192872172217571,5.54149635930335,39.20339429319311,0.0001381785705143,0.0014737491791774,,,
hotel_bookings_updated_2024,Classification,119390,16,10,0.4558316891091467,0.4559463571185064,0.4596105913903545,0.4593212966100576,0.7783653026174956,4.219931501947435,35.6683927469394,0.0001146680093597,-0.0002892947802968,,,
hotel_bookings_updated_2024,Classification,119390,16,11,0.397664611361006,0.3978545758345695,0.4014685259225461,0.3999888860384976,0.8313203806625059,4.239935832401553,25.64263886559044,0.0001899644735635,-0.0014796398840484,,,
